Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
;Dip Descartable Transparente;;;;;;;;1000;;0,2;5;8;6;;1287384;;;NO;Largo 5 cm Ancho 3.5 cm Alto 6.5 cm Material: Acrilico;;;;;SI;;;;
;Dosificador a Piston Acero;;;;;;;;1000;;0,3;5;8;6;;1024451;;;NO;"Especial para dosificar salsas, cremas y preparados liquidos.
 Medidas: 20cm de altura, 12,5cm de diametro, 26cm de ancho con mango incluido. Cuerpo de acero inoxidable pulido. ";;;;Silcook;SI;;;;
;Filtro de Agua Ionico;;;;;;;;1000;;0,1;5;8;6;;1500004;;;NO;Repuesto de filtro ionico. Estos filtros ayudan a reducir la dureza del agua al intercambiar iones de calcio y magnesio, responsables de la formación de incrustaciones de sarro, por iones de sodio o potasio.;;;;;SI;;;;
;Tupper 1,5 Lts;;;;;;;;1000;;0,1;5;8;6;;1171310;;;NO;Marca: IPRO Capacidad: 1,5 L;;;;Ipro;SI;;;;
;Multi Corta Masas;;;;;;;;1000;;0,1;5;8;6;;1142002;;;NO;Diametro Rueda 5 cm Regulable de 1 a 12 cm Material: Acero Inoxidable;;;;Silcook;SI;;;;
;Pimentero Madera 12 Cm;;;;;;;;1000;;0,1;5;8;6;;1135745;;;NO;Diametro 5 cm Altura 12 cm Material: Madera con muelas de acero inoxidable;;;;;SI;;;;
;Taza Desayuno Porcelana Schmidt;;;;;;;;1000;;0,1;5;8;6;;1185175;;;NO;Diametro 8 cm Altura 7 cm Material: Porcelana;;;;Schmidt;SI;;;;
;Termometro Freezer Digital;;;;;;;;1000;;0,1;5;8;6;;1229714;;;NO;Rango de temperatura: -20° a 60° ;;;;Silcook;SI;;;;
;Termometro Digital Timer ;;;;;;;;1000;;0,1;5;8;6;;1229710;;;NO;Rango de temperatura: 0° a 250° ;;;;Silcook;SI;;;;
;Termometro Digital con Sonda;;;;;;;;1000;;0,1;5;8;6;;1200795;;;NO;Rango de temperatura: -50ºc a 110º;;;;Silcook;SI;;;;
;Tetera Acero Inoxidable 1620 Ml;;;;;;;;1000;;0,1;5;8;6;;1249945;;;NO;Diametro: 10,5 Cm Altura: 17,5 Cm Capacidad: 1620 Ml Material: Acero inoxidable;;;;;SI;;;;
;Pizzera Plastica Amarilla;;;;;;;;1000;;0,1;5;8;6;;1180466;;;NO; Diámetro 36 cm Material: PLastico ;;;;;SI;;;;
;Pizzera Plastica Azul;;;;;;;;1000;;0,1;5;8;6;;1180463;;;NO; Diámetro 36 cm Material: PLastico ;;;;;SI;;;;
;Pizzera Plastica Blanca;;;;;;;;1000;;0,1;5;8;6;;1180462;;;NO; Diámetro 36 cm Material: PLastico ;;;;;SI;;;;
;Pizzera Plastica Roja;;;;;;;;1000;;0,1;5;8;6;;1180464;;;NO; Diámetro 36 cm Material: PLastico ;;;;;SI;;;;
;Pizzera Plastica Terracota;;;;;;;;1000;;0,1;5;8;6;;1180460;;;NO; Diámetro 36 cm Material: PLastico ;;;;;SI;;;;
;Pizzera Plastica Verde;;;;;;;;1000;;0,1;5;8;6;;1180465;;;NO; Diámetro 36 cm Material: PLastico ;;;;;SI;;;;
